범위,설명,f,p-value
클러스터1(서비스업),"is_risky, sum_sales_card",3.151604348,0.076258373
클러스터1(서비스업),"is_risky, sum_purchase_card",2.668231828,0.102789946
클러스터1(서비스업),"is_risky, sum_customer_cnt",2.282562212,0.131259588
클러스터1(서비스업),"is_risky, sum_purchase_invoice",1.566687336,0.211079502
클러스터1(서비스업),"is_risky, regular_employees_count",1.106055193,0.293280252
클러스터1(서비스업),"is_risky, sum_sales_invoice",0.793752948,0.373253818
클러스터1(서비스업),"is_risky, rental_deposit",0.133698436,0.714731017
클러스터1(서비스업),"is_risky, monthly_rental_fee",0.103361578,0.747922
클러스터1(서비스업),"is_risky, sum_purchase_cash",0.082945546,0.773424358
클러스터1(서비스업),"is_risky, duration",0.06489172,0.798994979
클러스터1(서비스업),"is_risky, business_square_size",0.063192108,0.801588968
클러스터1(서비스업),"is_risky, age",2.0074E-06,0.998869922
클러스터1(서비스업),"is_risky, sum_sales_delivery",6.15E-07,0.999374623
클러스터1(서비스업),"is_risky, sum_weekend_sales_delivery",7.07E-08,0.999787914
,,,
,,,
,,,
,,,
클러스터1(유통업),"is_risky, sum_sales_invoice",10.37484186,0.001321829
클러스터1(유통업),"is_risky, monthly_rental_fee",8.063010565,0.004616394
클러스터1(유통업),"is_risky, sum_purchase_cash",5.899743824,0.015331868
클러스터1(유통업),"is_risky, sum_weekend_sales_card",3.070206377,0.080069254
클러스터1(유통업),"is_risky, age",2.920436388,0.087798206
클러스터1(유통업),"is_risky, sum_new_customer_cnt",1.690804102,0.193849124
클러스터1(유통업),"is_risky, sum_purchase_invoice",0.930577342,0.334963987
클러스터1(유통업),"is_risky, sum_customer_cnt",0.757613212,0.384323399
클러스터1(유통업),"is_risky, sum_purchase_card",0.628254279,0.428198744
클러스터1(유통업),"is_risky, duration",0.609823297,0.435053292
클러스터1(유통업),"is_risky, rental_deposit",0.390800605,0.532032389
클러스터1(유통업),"is_risky, regular_employees_count",0.213495358,0.644149766
클러스터1(유통업),"is_risky, business_square_size",0.153834793,0.694987265
클러스터1(유통업),"is_risky, sum_sales_card",0.131536501,0.716926726
클러스터1(유통업),"is_risky, sum_weekend_sales_delivery",3.29E-07,0.99954265
클러스터1(유통업),"is_risky, sum_sales_delivery",3.04E-07,0.99956005
클러스터1(유통업),"is_risky, is_franchise",,
,,,
,,,
,,,
,,,
클러스터1(외식업),"is_risky, sum_sales_card",222.1277288,4.79E-49
클러스터1(외식업),"is_risky, sum_weekend_sales_card",171.2896092,2.00E-38
