일반_대표자_성별코드,대표자연령대코드,고용근로자수,환산임대료,일반_사업자형태코드,산업중분류코드,일반_창업형태코드,일반_현사업체_직전종사상지위항목코드,창업_비용_총창업비용,창업_비용_본인부담금액,창업_어려움정도_입지선정코드,창업_어려움정도_업종선택코드,창업_어려움정도_자금조달코드,창업_어려움정도_기술확보코드,창업_어려움정도_인력확보코드,창업_어려움정도_행정절차코드,창업_어려움정도_경영방법코드,경영_고객결재방법_현금비율,경영_고객결재방법_카드비율,경영_고객결재방법_간편결제비율,경영_고객결재방법_어음비율,경영_고객결재방법_기타비율,경영_영업이익,경영_전자상거래_매출비율,경영_부채금액
1,30,0,0.0,1,10,3,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,100,0,0,0,0,18,0,0
1,30,0,162.0,1,13,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,100,0,0,0,0,21,0,0
1,30,0,12.0,1,13,1,3,30.0,15.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,80,0,0,0,20,19,0,20
1,30,0,90.0,1,15,1,3,10.0,10.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,100,0,0,0,0,-6,0,0
1,30,0,62.0,1,16,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,100,0,0,0,0,30,0,0
1,30,0,75.0,1,16,1,3,50.0,50.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,80,0,0,0,20,10,20,0
1,30,0,94.0,1,18,1,3,100.0,100.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,100,0,0,0,0,142,0,0
1,30,0,11.2,1,20,1,3,30.0,30.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,0,100,0,0,0,-22,100,0
1,30,0,46.0,1,22,1,3,30.0,30.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,100,0,0,0,0,10,0,0
1,30,0,77.0,1,23,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,100,0,0,0,0,101,0,50
1,30,0,112.0,1,27,1,3,40.0,20.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,100,0,0,0,0,30,0,10
1,30,0,64.8,1,28,1,3,50.0,50.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,100,0,0,0,0,-1,0,50
1,30,0,67.2,1,29,1,3,30.0,30.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,100,0,0,0,0,45,0,0
1,30,0,51.8,1,29,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,60,0,0,40,0,4,0,0
1,30,0,112.0,1,32,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,50,50,0,0,0,1,0,0
1,30,0,175.0,1,32,1,3,80.0,50.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,100,0,0,0,0,23,0,10
1,30,0,89.0,1,32,1,3,70.0,70.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,5,95,0,0,0,23,0,0
1,30,0,174.0,1,33,1,3,21.0,21.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,50,50,0,0,0,72,0,0
1,30,0,24.0,1,33,1,3,45.0,45.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,100,0,0,0,0,9,15,15
1,30,0,0.0,1,34,1,3,40.0,40.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,100,0,0,0,0,27,0,30
1,30,0,92.0,1,34,1,3,25.0,25.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,100,0,0,0,0,38,0,14
1,30,0,0.0,1,41,1,3,50.0,50.0,2.0,4.0,3.0,2.0,3.0,2.0,1.0,100,0,0,0,0,140,0,0
1,30,0,0.0,1,45,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,20,0,0,80,0,74,0,348
1,30,0,12.4,1,45,1,3,40.0,35.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,100,0,0,0,0,25,0,0
1,30,0,256.0,1,45,3,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,2,98,0,0,0,60,0,0
1,30,0,0.0,1,46,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,100,0,0,0,0,62,20,16
1,30,0,62.0,1,46,1,3,100.0,60.0,3.0,2.0,5.0,5.0,3.0,3.0,5.0,100,0,0,0,0,18,0,60
1,30,0,112.0,1,47,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,87,13,0,0,0,70,100,1
1,30,0,0.0,1,47,1,4,3.0,3.0,1.0,3.0,4.0,5.0,5.0,3.0,4.0,8,25,51,0,16,4,100,0
1,30,0,144.0,1,47,1,3,80.0,80.0,3.0,3.0,4.0,3.0,1.0,4.0,3.0,10,90,0,0,0,47,0,10
1,30,0,224.0,1,47,1,3,100.0,46.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,10,90,0,0,0,29,0,1
1,30,0,0.0,1,47,1,3,30.0,30.0,1.0,2.0,4.0,3.0,1.0,2.0,2.0,10,90,0,0,0,-36,100,1
1,30,0,35.4,1,47,1,3,40.0,20.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,0,100,0,0,0,5,80,0
1,30,0,192.0,1,55,1,3,20.0,20.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,0,0,0,0,100,1,100,20
1,30,0,36.0,1,58,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,100,0,0,0,0,24,0,0
