상권_코드_명,기준_년_코드,기준_분기_코드,yearquarter,lease_sole,lease_corp,owner,is_risky_0,is_risky_1,total_stores_count,existing_customers_count,Restaurant,Service,Distribution,Japanese,Korean,Western,Bar,PersonalService,ArtSportsandLeisure-relatedServiceIndustry,BakeryDessert,Cafe,ProfessionalDistribution,HealthcareServiceIndustry,EducationServiceIndustry,Fastfood,average(age),average(duration),average(is_franchise),average(business_square_size),average(monthly_rental_fee),average(regular_employees_count),average(rental_deposit),average(sum_customer_cnt),average(sum_new_customer_cnt),average(sum_purchase_card),average(sum_purchase_cash),average(sum_purchase_invoice),average(sum_weekend_sales_delivery),average(sum_weekend_sales_card),average(sum_sales_card),average(sum_sales_delivery),average(sum_sales_invoice),경영_위기_비율,클러스터
영등포역(영등포),2022,1,2022-1,57.0,9.0,0.0,61.0,5.0,66.0,1.0801515108,51.0,15.0,0.0,0.0,24.0,0.0,27.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8954545458,5.6136363635,0.1818181818,106.7533000085,3.1451909093,1.6780303034,5.3070909106,4.8045454554,3.7243939401,3.4349605189,0.5003181977,18.5597726166,2.851424243,9.76439182,25.6051281875,7.3272015163,0.3013035635,0.0757575757575757,2
영등포역(영등포),2022,2,2022-2,59.0,8.0,0.0,65.0,2.0,67.0,1.6204615347,53.0,14.0,0.0,0.0,26.0,0.0,27.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5149253667,5.6119402984,0.1791044776,107.9726537103,3.2275880589,1.6928358206,5.4389850741,8.1196923069,6.4992307689,4.2168577442,0.7077987613,22.6482565003,2.1999402981,16.4180621326,43.5658905584,5.2904179093,0.2968845368,0.0298507462686567,2
영등포역(영등포),2022,3,2022-3,65.0,6.0,0.0,64.0,7.0,71.0,1.6340579664,54.0,17.0,0.0,0.0,27.0,0.0,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.111267604,5.1802816903,0.1690140845,108.8775746351,3.3414084504,1.4980281694,5.7281690138,8.1198550723,6.4857971013,4.853726523,0.6103768174,25.9515487769,1.7851690143,16.2576540858,44.4887580561,4.3080140838,0.5502063403,0.0985915492957746,2
영등포역(영등포),2022,4,2022-4,72.0,6.0,0.0,68.0,10.0,78.0,1.4809210496,57.0,21.0,0.0,0.0,30.0,0.0,27.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.2538461531,4.8615384619,0.1538461538,111.5424076983,3.3396153853,1.4269230773,5.6115384627,7.7017105277,6.2207894747,4.5849871266,0.7445434102,24.4342943835,1.7882820513,18.2169076286,46.3812857681,3.8393974355,0.3811914875,0.1282051282051282,2
영등포역(영등포),2023,1,2023-1,69.0,6.0,0.0,64.0,11.0,75.0,1.3274999964,54.0,21.0,0.0,0.0,28.0,0.0,26.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.1306666668,4.918666667,0.16,112.1541466701,3.3325333334,1.7128,5.5826666661,6.9498611112,5.6223611112,2.8371283234,1.0534382801,20.9421926417,1.27904,14.8867023332,41.6358368661,3.0723600003,0.4289416813,0.1466666666666666,2
왕십리역(왕십리),2022,1,2022-1,36.0,3.0,0.0,35.0,4.0,39.0,5.5851281967,39.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,40.6076923037,6.5384615388,0.2307692308,70.2974307457,2.693846154,1.0638461544,5.6615384624,13.6989743583,8.1138461541,3.6836901059,0.7087667956,8.3249839558,0.9442615394,4.5032552606,14.2239796158,2.8383538485,5.8e-09,0.1025641025641025,0
왕십리역(왕십리),2022,2,2022-2,38.0,3.0,0.0,36.0,5.0,41.0,7.1899999922,41.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,40.2073170725,6.3170731703,0.2195121951,67.7682877868,2.6014634154,1.0119512193,5.4829268302,17.9331707304,10.7431707327,3.3678747257,0.7010698796,9.7019155795,0.711482927,6.1607943907,19.5048610237,2.1970902441,-1.1e-09,0.1219512195121951,0
왕십리역(왕십리),2022,3,2022-3,40.0,3.0,0.0,37.0,6.0,43.0,6.3713953407,43.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,40.1488372034,6.1395348831,0.2093023256,67.049065105,2.5837209304,0.9958139539,5.4372093023,16.3983720939,10.0269767453,3.3747182788,0.6241545357,10.166556683,0.7854069786,5.7530800001,18.8936653309,2.5490395374,3.3e-09,0.1395348837209302,0
왕십리역(왕십리),2022,4,2022-4,44.0,3.0,0.0,41.0,6.0,47.0,5.9042553153,47.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,39.670212761,5.7531914898,0.1914893617,70.9012723314,2.5834042556,0.9676595744,5.3574468072,14.9897872331,9.0855319145,3.3335840456,0.6673751709,13.0350975731,1.0523340436,6.4946391698,20.4687874381,4.1357042573,-2e-10,0.1276595744680851,0
왕십리역(왕십리),2023,1,2023-1,42.0,3.0,0.0,40.0,5.0,45.0,5.5895454481,45.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,39.9933333407,5.9200000023,0.2,73.2324400035,2.6626666669,0.726222223,5.5066666671,15.2338636362,9.644318182,1.9396245982,0.5527221335,12.6146436894,0.9030555546,6.0520222204,20.5453327767,3.5411266634,-3.5e-09,0.1111111111111111,0
