상권_코드_명,상권_코드,기준_년_코드,기준_분기_코드,유사_업종_점포_수,개업_율,폐업_율,주중_매출_비율,주말_매출_비율,남성_매출_비율,여성_매출_비율,연령대_1020_매출_비율,연령대_3040_매출_비율,연령대_5060_매출_비율,집객시설_수,교통_인프라,총 상주인구 수,총_직장_인구_수,총_생활인구_수,월_평균_소득_금액,경영_위기_비율
송파나루역 1번(송리단길),2111013,2022,4,540,0.036964980544747,0.0291828793774319,0.6136072975097603,0.38639270249023977,0.5226785714251214,0.47732142857487864,0.323419329491539,0.4543984492486617,0.2221822212597993,8,2,8690,2234.0,2368874,3194188.0,0.0476190476190476
수서역,2120224,2022,1,695,0.009933774834437,0.0082781456953642,0.8705368381640606,0.12946316183593948,0.5216307415566537,0.47836925844334627,0.09440717872684588,0.44203348281607757,0.46355933845707653,40,8,594,12418.0,206519,3868336.0,0.0416666666666666
수서역,2120224,2022,2,705,0.0310965630114566,0.0130932896890343,0.8658916550230201,0.13410834497697988,0.5205270194088917,0.47947298059110827,0.08741897224055618,0.4619502287827144,0.4506307989767294,40,8,594,12418.0,222273,3868336.0,0.0833333333333333
수서역,2120224,2022,3,702,0.0147299509001636,0.0147299509001636,0.8637987525039158,0.13620124749608425,0.4988796726444553,0.5011203273555447,0.10491405731221243,0.44552352913246496,0.4495624135553226,40,8,594,12418.0,193657,3868336.0,0.0714285714285714
수서역,2120224,2022,4,706,0.022875816993464,0.0196078431372549,0.8551763981474467,0.1448236018525533,0.48871716645713337,0.5112828335428666,0.109408997422674,0.4449930738867898,0.44559792869053616,40,8,594,12418.0,194441,3868336.0,0.0
수유역,2120076,2022,1,1714,0.0255402750491159,0.0183366077275704,0.7501538002698419,0.24984619973015812,0.5388481195173798,0.4611518804826202,0.20615863336739787,0.43056377396248163,0.3632775926701205,189,30,5568,1930.0,2968387,2454598.0,0.1376811594202898
수유역,2120076,2022,2,1737,0.0406976744186046,0.0193798449612403,0.73877224815159,0.26122775184840996,0.5318039072320938,0.4681960927679062,0.20893851717841921,0.43383226650009143,0.35722921632148935,189,30,5568,1930.0,3168964,2454598.0,0.1605839416058394
수유역,2120076,2022,3,1739,0.031592520954223,0.0296582849774339,0.742412033870935,0.257587966129065,0.5431538238393281,0.4568461761606719,0.21477706292864301,0.4333033066110979,0.3519196304602591,189,30,5568,1930.0,3121983,2454598.0,0.2127659574468085
수유역,2120076,2022,4,1748,0.0391527599486521,0.0308087291399229,0.7164143581296174,0.28358564187038254,0.5294641348433206,0.4705358651566795,0.21611298720701835,0.42899878857980595,0.3548882242131757,189,30,5568,1930.0,3117882,2454598.0,0.1585365853658536
신논현역,2120187,2022,1,2138,0.0262361251261352,0.0221997981836528,0.7674620193202613,0.23253798067973871,0.45972653446237194,0.5402734655376281,0.236946837392245,0.46667554240587605,0.29637762020187897,154,13,5512,13076.0,2767171,3167104.0,0.1927083333333333
신논현역,2120187,2022,2,2140,0.0286864620030196,0.019124308002013,0.7607913036536157,0.23920869634638436,0.4665495274472153,0.5334504725527848,0.25049616354766696,0.49198896966881095,0.2575148667835221,154,13,5512,13076.0,3117290,3167104.0,0.2153846153846154
신논현역,2120187,2022,3,2129,0.0277357539082198,0.0317700453857791,0.7589890390417274,0.2410109609582725,0.4607379318086589,0.5392620681913411,0.23259597579347785,0.5018621929994651,0.26554183120705704,154,13,5512,13076.0,3104349,3167104.0,0.1958762886597938
신논현역,2120187,2022,4,2143,0.0265930757651781,0.0185649774209734,0.7595159528988463,0.24048404710115365,0.4953875072784758,0.5046124927215242,0.2363477485129675,0.4887594643800879,0.2748927871069446,154,13,5512,13076.0,3146024,3167104.0,0.2094240837696335
"신림역 5번(신림동주민센터, 신림동별빛거리)",2110869,2022,1,349,0.0253968253968253,0.019047619047619,0.6757964311583089,0.3242035688416911,0.6113837228548732,0.3886162771451268,0.3481144937129422,0.45922285053936734,0.19266265574769048,13,0,11367,1026.0,3714572,2370583.0,0.1904761904761904
"신림역 5번(신림동주민센터, 신림동별빛거리)",2110869,2022,2,349,0.0189873417721519,0.0189873417721519,0.6774931915770753,0.32250680842292473,0.6160431980582942,0.38395680194170584,0.36633444065520376,0.45583293225508875,0.17783262708970746,13,0,11367,1026.0,3950733,2370583.0,0.15
"신림역 5번(신림동주민센터, 신림동별빛거리)",2110869,2022,3,351,0.0345911949685534,0.0283018867924528,0.6818604551780225,0.3181395448219775,0.6103554459819144,0.3896445540180857,0.36060813577188244,0.4531656624047072,0.18622620182341038,13,0,11367,1026.0,3925549,2370583.0,0.3181818181818182
"신림역 5번(신림동주민센터, 신림동별빛거리)",2110869,2022,4,347,0.0285714285714285,0.0412698412698412,0.6591364959305172,0.3408635040694829,0.5908093524030251,0.4091906475969748,0.3557932399415037,0.4426327734673843,0.20157398659111206,13,0,11367,1026.0,3595168,2370583.0,0.25
신림역(신림),2120157,2022,1,1345,0.021630615640599,0.0232945091514143,0.717546127689556,0.2824538723104441,0.5210696476309121,0.4789303523690879,0.2954668423981467,0.428570954368379,0.27596220323347426,147,10,8255,593.0,3220459,2473297.0,0.1298701298701298
신림역(신림),2120157,2022,2,1331,0.0143097643097643,0.0168350168350168,0.7051485684414651,0.2948514315585349,0.5214601541506388,0.4785398458493611,0.28910384103182596,0.43007314303625577,0.2808230159319183,147,10,8255,593.0,3338794,2473297.0,0.1842105263157894
신림역(신림),2120157,2022,3,1312,0.0213492741246797,0.0384286934244235,0.7208388810093239,0.2791611189906761,0.5328066577666638,0.4671933422333362,0.29643089876109746,0.43735436360413865,0.2662147376347639,147,10,8255,593.0,3272626,2473297.0,0.1857142857142857
신림역(신림),2120157,2022,4,1307,0.0247863247863247,0.029059829059829,0.6945298370705684,0.30547016292943163,0.5326743622142533,0.46732563778574665,0.2957820303470716,0.4322607176826439,0.2719572519702845,147,10,8255,593.0,3185310,2473297.0,0.2318840579710145
신사역,2120178,2022,1,1794,0.0194575471698113,0.0117924528301886,0.8163445207413492,0.18365547925865078,0.38786309624422605,0.6121369037557739,0.22004597701409456,0.44596723692983975,0.3339867860560657,167,9,3521,10933.0,2883635,3039614.0,0.1968503937007874
신사역,2120178,2022,2,1812,0.0314868804664723,0.0134110787172011,0.8112069747001588,0.1887930252998412,0.4103935965666985,0.5896064034333015,0.23552353248736235,0.46949874246400775,0.2949777250486299,167,9,3521,10933.0,3194749,3039614.0,0.2313432835820895
신사역,2120178,2022,3,1818,0.0273255813953488,0.0238372093023255,0.8182020265469733,0.1817979734530267,0.42119238183701047,0.5788076181629895,0.24115480686148355,0.46466312603052373,0.2941820671079927,167,9,3521,10933.0,3125236,3039614.0,0.2083333333333333
신사역,2120178,2022,4,1832,0.0271049596309111,0.0190311418685121,0.790333671333289,0.20966632866671103,0.42050886846016977,0.5794911315398302,0.23392438937542437,0.46925509008858146,0.29682052053599417,167,9,3521,10933.0,2981942,3039614.0,0.1917808219178082
신용산역(용산역),2120041,2022,1,1702,0.0245795601552393,0.0097024579560155,0.7221705035281946,0.27782949647180544,0.555186934708699,0.44481306529130105,0.18351742529687845,0.5336761519292422,0.28280642277387935,90,19,7181,16270.0,1338658,4862638.0,0.0465116279069767
신용산역(용산역),2120041,2022,2,1722,0.0344827586206896,0.0159642401021711,0.725263863387207,0.2747361366127929,0.546436203371116,0.453563796628884,0.20189016605623844,0.5197965903352542,0.27831324360850734,90,19,7181,16270.0,1376102,4862638.0,0.1956521739130435
신용산역(용산역),2120041,2022,3,1712,0.0198717948717948,0.0262820512820512,0.7107642862344657,0.2892357137655343,0.5634219512073463,0.4365780487926537,0.22473474120387382,0.5299097387308539,0.24535552006527228,90,19,7181,16270.0,1521209,4862638.0,0.1372549019607843
신용산역(용산역),2120041,2022,4,1724,0.0261146496815286,0.0229299363057324,0.722286774013811,0.27771322598618897,0.536234014400299,0.46376598559970095,0.22430512916629644,0.5071556622377628,0.2685392085959408,90,19,7181,16270.0,1550519,4862638.0,0.18
신정2동주민센터,2110625,2022,1,386,0.0405797101449275,0.008695652173913,0.8029898544121228,0.19701014558787724,0.5101189640845324,0.48988103591546767,0.036804887988578644,0.5415556162020315,0.4216394958093898,24,11,3327,726.0,717731,4726243.0,0.0526315789473684
신정2동주민센터,2110625,2022,2,388,0.0316091954022988,0.0229885057471264,0.770725651728433,0.22927434827156695,0.49977337223753315,0.5002266277624668,0.032529698814313876,0.5659001747147351,0.401570126470951,24,11,3327,726.0,802359,4726243.0,0.2083333333333333
신정2동주민센터,2110625,2022,3,390,0.0228571428571428,0.0171428571428571,0.7989584194287407,0.2010415805712593,0.48515269265164224,0.5148473073483578,0.035613570389546226,0.5600492557310435,0.4043371738794103,24,11,3327,726.0,1117158,4726243.0,0.3043478260869565
신정2동주민센터,2110625,2022,4,389,0.0229226361031518,0.0229226361031518,0.7546189745371175,0.2453810254628825,0.5115024239740015,0.48849757602599847,0.03265662074638439,0.5528733924710995,0.4144699867825161,24,11,3327,726.0,1114228,4726243.0,0.4285714285714285
"신촌역(신촌역, 신촌로터리)",2120094,2022,1,2165,0.0204724409448818,0.0141732283464566,0.770709917274911,0.229290082725089,0.493581415790917,0.5064185842090829,0.2979604959678485,0.3576683819227607,0.3443711221093908,201,28,3801,5355.0,4663704,3071531.0,0.170886075949367
"신촌역(신촌역, 신촌로터리)",2120094,2022,2,2175,0.0323590814196242,0.0213987473903966,0.7552027616365488,0.24479723836345121,0.47982421523111,0.5201757847688899,0.327955918332443,0.3545966127852561,0.3174474688823009,201,28,3801,5355.0,5441526,3071531.0,0.21875
"신촌역(신촌역, 신촌로터리)",2120094,2022,3,2151,0.0300791556728232,0.0411609498680738,0.7731809995920524,0.22681900040794753,0.48668811238112436,0.5133118876188756,0.3346041620158956,0.35033657290531933,0.31505926507878507,201,28,3801,5355.0,5506095,3071531.0,0.2317073170731707
"신촌역(신촌역, 신촌로터리)",2120094,2022,4,2163,0.0330188679245283,0.0288259958071278,0.7481007177227066,0.2518992822772934,0.5014672351229255,0.49853276487707454,0.33582490672999366,0.34801939946091137,0.316155693809095,201,28,3801,5355.0,5621692,3071531.0,0.2372881355932203
안암역 3번,2110313,2022,1,312,0.0236220472440944,0.0236220472440944,0.7642237708760693,0.23577622912393073,0.6300617130104518,0.3699382869895482,0.4241226722098445,0.3200006149928715,0.2558767127972839,23,6,1359,2079.0,962070,2968099.0,0.238095238095238
안암역 3번,2110313,2022,2,319,0.0421455938697318,0.0114942528735632,0.7693118513985663,0.2306881486014337,0.6400776261315142,0.35992237386848575,0.46274875159847184,0.3246423077464552,0.212608940655073,23,6,1359,2079.0,1260673,2968099.0,0.2631578947368421
안암역 3번,2110313,2022,3,312,0.0352941176470588,0.0588235294117647,0.7790258135518514,0.2209741864481486,0.6387251525455793,0.3612748474544207,0.4338841565874073,0.33669471888779823,0.22942112452479446,23,6,1359,2079.0,1114341,2968099.0,0.3888888888888889
안암역 3번,2110313,2022,4,313,0.0393700787401574,0.0354330708661417,0.7514903305313897,0.24850966946861033,0.644406362557775,0.35559363744222505,0.4514111567965389,0.31451835646321813,0.23407048674024297,23,6,1359,2079.0,1388903,2968099.0,0.15
압구정로데오역(압구정로데오),2120202,2022,1,1615,0.0215123859191655,0.0176010430247718,0.6653552429783938,0.33464475702160623,0.4425679691176362,0.5574320308823638,0.24788946964089986,0.539547909923153,0.21256262043594706,77,4,1843,11735.0,1952805,4378212.0,0.1027397260273972
압구정로데오역(압구정로데오),2120202,2022,2,1623,0.0239792611795204,0.0168502916396629,0.7011495102583397,0.29885048974166034,0.4467221457736358,0.5532778542263642,0.25160468889872134,0.542626670426682,0.2057686406745967,77,4,1843,11735.0,2283012,4378212.0,0.1027397260273972
압구정로데오역(압구정로데오),2120202,2022,3,1630,0.032860824742268,0.0283505154639175,0.7166482817453838,0.28335171825461625,0.45240126812692927,0.5475987318730707,0.2552156857308483,0.5418151639792044,0.20296915028994728,77,4,1843,11735.0,2263370,4378212.0,0.1379310344827586
압구정로데오역(압구정로데오),2120202,2022,4,1627,0.0277240490006447,0.0264345583494519,0.6878778402182727,0.31212215978172725,0.44043747174232195,0.559562528257678,0.25428147469486295,0.535657261697104,0.210061263608033,77,4,1843,11735.0,2211624,4378212.0,0.1225806451612903
압구정역,2120188,2022,1,1681,0.0248366013071895,0.0130718954248366,0.795645919932978,0.20435408006702202,0.39719418591358585,0.6028058140864141,0.16278512635171302,0.4934955423561851,0.3437193312921019,213,7,1129,8579.0,1913075,3837465.0,0.1282051282051282
압구정역,2120188,2022,2,1683,0.0247557003257328,0.0175895765472312,0.7982628188953751,0.2017371811046249,0.4129094338359576,0.5870905661640424,0.16380437694390243,0.5174345906234893,0.31876103243260834,213,7,1129,8579.0,2015293,3837465.0,0.1842105263157894
압구정역,2120188,2022,3,1677,0.0195950359242325,0.0215545395166557,0.820638742088033,0.17936125791196697,0.4108421699350239,0.589157830064976,0.16648122928853448,0.5168044033316934,0.31671436737977204,213,7,1129,8579.0,1928782,3837465.0,0.1282051282051282
압구정역,2120188,2022,4,1671,0.0170157068062827,0.0196335078534031,0.7984614987544629,0.2015385012455371,0.4198613139584856,0.5801386860415144,0.14733012294107387,0.5200741387979357,0.3325957382609904,213,7,1129,8579.0,1934870,3837465.0,0.3076923076923077
양재역,2120179,2022,1,1584,0.0167714884696016,0.0118798043326345,0.8610276538417037,0.13897234615829632,0.6285139773782643,0.3714860226217357,0.10237674594133543,0.3682477261413483,0.5293755279173162,122,17,4990,21445.0,2267172,4712713.0,0.1034482758620689
양재역,2120179,2022,2,1585,0.0181437543614794,0.0125610607117934,0.8619626684508819,0.13803733154911813,0.6273079985114015,0.3726920014885985,0.09701100102850299,0.4110236508048754,0.4919653481666216,122,17,4990,21445.0,2390019,4712713.0,0.2166666666666666
양재역,2120179,2022,3,1580,0.020293911826452,0.0237928621413575,0.8729488388757514,0.1270511611242486,0.620582120264747,0.3794178797352529,0.10391422343611294,0.388345541255328,0.507740235308559,122,17,4990,21445.0,2293055,4712713.0,0.2950819672131147
양재역,2120179,2022,4,1577,0.0196353436185133,0.0189340813464235,0.8686781045459677,0.13132189545403228,0.6332103457814924,0.3667896542185076,0.09783139124348962,0.3941932284930675,0.5079753802634429,122,17,4990,21445.0,2244561,4712713.0,0.2372881355932203
양천향교역 7번,2110648,2022,1,276,0.0862068965517241,0.0129310344827586,0.8225449868258241,0.17745501317417584,0.47040867584829443,0.5295913241517055,0.3243922345098775,0.43172288397748093,0.24388488151264157,21,8,3992,13.0,81230,3402010.0,0.0666666666666666
양천향교역 7번,2110648,2022,2,281,0.0630252100840336,0.0378151260504201,0.7996973739015946,0.20030262609840546,0.5202063239736503,0.47979367602634976,0.2037724560258917,0.6074829876465944,0.18874455632751388,21,8,3992,13.0,85270,3402010.0,0.4615384615384615
양천향교역 7번,2110648,2022,3,283,0.0663900414937759,0.0539419087136929,0.8442828833204165,0.15571711667958352,0.408335068010774,0.591664931989226,0.2942915319507482,0.568470473325129,0.13723799472412276,21,8,3992,13.0,81544,3402010.0,0.3125
양천향교역 7번,2110648,2022,4,292,0.064516129032258,0.0282258064516129,0.7897827205923177,0.21021727940768234,0.45978284568728306,0.540217154312717,0.2292719402421714,0.609954724372005,0.16077333538582356,21,8,3992,13.0,85452,3402010.0,0.2631578947368421
어린이대공원역,2120054,2022,1,649,0.0587219343696027,0.0224525043177892,0.7421852023488711,0.25781479765112886,0.5599940097083235,0.44000599029167653,0.33787721058667963,0.34747966137278347,0.3146431280405369,38,7,3857,1243.0,1418452,3060187.0,0.2666666666666666
어린이대공원역,2120054,2022,2,654,0.0426621160409556,0.0273037542662116,0.7345470100445919,0.2654529899554081,0.5591961428076242,0.4408038571923758,0.36931591974913014,0.3477766446023457,0.2829074356485241,38,7,3857,1243.0,1490922,3060187.0,0.15
어린이대공원역,2120054,2022,3,656,0.0422297297297297,0.0371621621621621,0.7526024234505959,0.2473975765494041,0.5370199557721529,0.4629800442278471,0.33494747990670254,0.37862909563549285,0.2864234244578046,38,7,3857,1243.0,1402274,3060187.0,0.238095238095238
어린이대공원역,2120054,2022,4,662,0.0415973377703826,0.0299500831946755,0.7326987364410109,0.2673012635589891,0.5576159405031292,0.4423840594968707,0.36153561612766033,0.3308418643067845,0.30762251956555514,38,7,3857,1243.0,1447467,3060187.0,0.0588235294117647
언주역(차병원),2120194,2022,1,833,0.0217948717948717,0.0205128205128205,0.7647293366317767,0.23527066336822336,0.5397284943040135,0.4602715056959865,0.17385175906902361,0.5587596166895592,0.2673886242414172,67,8,2599,12628.0,1673923,3258234.0,0.1666666666666666
언주역(차병원),2120194,2022,2,857,0.0523690773067331,0.0211970074812967,0.8331838785085741,0.16681612149142583,0.5112241093904845,0.48877589060951554,0.15161822104448558,0.5672482344677252,0.28113354448778916,67,8,2599,12628.0,1722701,3258234.0,0.2777777777777778
언주역(차병원),2120194,2022,3,865,0.0369913686806411,0.0271270036991368,0.8114080127336587,0.1885919872663413,0.5456654393947671,0.454334560605233,0.18007801502281842,0.5488245864142256,0.27109739856295595,67,8,2599,12628.0,1687042,3258234.0,0.1666666666666666
언주역(차병원),2120194,2022,4,863,0.022140221402214,0.02460024600246,0.6911556713410323,0.30884432865896766,0.5984284179537643,0.4015715820462356,0.20762649648035564,0.5970203667473161,0.19535313677232832,67,8,2599,12628.0,1738459,3258234.0,0.2777777777777778
여의도역(여의도),2120149,2022,1,2512,0.0244118952507767,0.0159786950732356,0.8506671494607229,0.1493328505392772,0.5700285072543053,0.42997149274569474,0.16637615509878081,0.5546091299671664,0.27901471493405283,161,18,2805,69255.0,1488872,5980022.0,0.1216216216216216
여의도역(여의도),2120149,2022,2,2527,0.0255731922398589,0.0123456790123456,0.8566115525862591,0.1433884474137409,0.5557396711695812,0.4442603288304187,0.16655661611921757,0.563996717801234,0.2694466660795484,161,18,2805,69255.0,1688780,5980022.0,0.1320754716981132
여의도역(여의도),2120149,2022,3,2521,0.027802294792586,0.029126213592233,0.8660423947735916,0.1339576052264084,0.5517322705682883,0.4482677294317116,0.1765690096317947,0.5548088336838624,0.2686221566843429,161,18,2805,69255.0,1665315,5980022.0,0.1573033707865168
여의도역(여의도),2120149,2022,4,2525,0.0250990752972258,0.0215763980625275,0.8590328561508762,0.14096714384912373,0.5542851001147425,0.4457148998852574,0.16994636287971096,0.5464635459394406,0.2835900911808485,161,18,2805,69255.0,1696105,5980022.0,0.1176470588235294
역삼역,2120197,2022,1,3309,0.0211795373085695,0.0198761811665037,0.8622066907532251,0.13779330924677494,0.5655643223750993,0.4344356776249007,0.18156860166201808,0.5297242076286136,0.2887071907093683,172,8,6012,58694.0,3369883,3471236.0,0.1089743589743589
역삼역,2120197,2022,2,3305,0.0202614379084967,0.0196078431372549,0.8630816159601861,0.136918384039814,0.5771480363932708,0.4228519636067292,0.1828875244790145,0.5364134060182973,0.28069906950268825,172,8,6012,58694.0,3744159,3471236.0,0.0903225806451612
역삼역,2120197,2022,3,3316,0.0295838751625487,0.0234070221066319,0.8763395973890911,0.1236604026109089,0.5781357039074633,0.42186429609253673,0.18789002068674196,0.5203398902377897,0.29177008907546836,172,8,6012,58694.0,3655313,3471236.0,0.1578947368421052
역삼역,2120197,2022,4,3323,0.0281827016520894,0.0239714933592484,0.8654165253456648,0.13458347465433515,0.5711955083971915,0.42880449160280854,0.20053766635267878,0.5198072741215995,0.27965505952572167,172,8,6012,58694.0,3703285,3471236.0,0.1592356687898089
연남동(홍대),2120104,2022,1,2077,0.0308236483072258,0.0257705912076806,0.7307022830603833,0.26929771693961674,0.545761608786189,0.4542383912138111,0.3130771449478593,0.44468868796632327,0.2422341670858174,66,20,7337,5955.0,3961968,2969151.0,0.154727793696275
연남동(홍대),2120104,2022,2,2112,0.0480912245909767,0.0262766484878532,0.6747794419677908,0.3252205580322092,0.4495235404589964,0.5504764595410037,0.36635601213833974,0.45380127657499914,0.1798427112866611,66,20,7337,5955.0,4160138,2969151.0,0.2259887005649717
연남동(홍대),2120104,2022,3,2148,0.0510204081632653,0.0330417881438289,0.6804435094525769,0.319556490547423,0.44427966558927695,0.555720334410723,0.39028890207972505,0.4271514623458799,0.18255963557439503,66,20,7337,5955.0,4097114,2969151.0,0.2067183462532299
연남동(홍대),2120104,2022,4,2151,0.0363372093023255,0.0334302325581395,0.6637845136161422,0.33621548638385773,0.4561348460185242,0.5438651539814757,0.3854601347446339,0.4182444256136449,0.19629543964172116,66,20,7337,5955.0,4119433,2969151.0,0.193069306930693
연신내상점가(연빛거리),2130167,2022,1,747,0.027906976744186,0.0248062015503875,0.7179639822858512,0.2820360177141488,0.5253986742336286,0.4746013257663713,0.27446532571478777,0.34755703643904207,0.37797763784617017,40,8,1497,636.0,1549507,2438217.0,0.1395348837209302
연신내상점가(연빛거리),2130167,2022,2,756,0.0486322188449848,0.0303951367781155,0.704553489720277,0.295446510279723,0.5275959212999763,0.47240407870002366,0.2848234161525435,0.3773011767193037,0.33787540712815284,40,8,1497,636.0,1709724,2438217.0,0.0941176470588235
연신내상점가(연빛거리),2130167,2022,3,734,0.0330188679245283,0.0660377358490566,0.7096733515217226,0.2903266484782774,0.5261822033549208,0.4738177966450791,0.28914140982379016,0.38820697021757,0.32265161995863983,40,8,1497,636.0,1652112,2438217.0,0.0697674418604651
연신내상점가(연빛거리),2130167,2022,4,733,0.0345911949685534,0.0361635220125786,0.6880404722572809,0.3119595277427191,0.5234483365830038,0.47655166341699623,0.2926180212687102,0.3771882099495427,0.3301937687817471,40,8,1497,636.0,1643642,2438217.0,0.0833333333333333
연신내역,2120090,2022,1,627,0.0174825174825174,0.0262237762237762,0.7528382389630646,0.2471617610369355,0.4257188953595834,0.5742811046404166,0.14411989034025086,0.36186598449421875,0.4940141251655304,98,18,2655,687.0,1873523,2600963.0,0.1904761904761904
