trdar_nm,year,quarter,class_1_name,average(age),average(duration),average(is_franchise),average(business_square_size),average(is_risky),average(monthly_rental_fee),average(regular_employees_count),average(rental_deposit),average(sum_customer_cnt),average(sum_new_customer_cnt),average(sum_purchase_card),average(sum_purchase_cash),average(sum_purchase_invoice),average(sum_sales_card),average(sum_sales_delivery),average(sum_sales_invoice),average(sum_weekend_sales_card),average(sum_weekend_sales_delivery),cluster
수유역,2022,1,유통업,46.6400000017,6.0400000012,0.0,51.4430933587,0.2666666667,0.8300000033,0.2000000015,2.8600000181,1.4461538421,1.0223076911,1.5341005992,0.3087058694,4.9760558591,3.9035409148,0.0110000014,1.2401087346,0.9620666632,0.0017000016,2
수유역,2022,2,서비스업,39.1800000012,5.9900000005,0.0,66.2817500135,0.2666666667,1.1650000007,4e-10,1.6500000412,0.4624137938,0.2665517255,1.6510936668,0.4238345678,1.0279278713,2.8234966673,1.8e-09,2.2e-09,0.7926999991,1.1e-09,2
수유역,2022,2,외식업,41.6706521732,5.216304348,0.0,79.5692282446,0.1086956522,2.0826086957,0.735543478,3.5076087065,4.8517391313,3.5183695658,4.1698807809,0.5812183046,14.571401205,21.8738378155,4.2017804344,0.1351086941,8.0968857496,1.3387293476,2
수유역,2022,2,유통업,46.6400000144,6.0400000017,0.0,51.4400000247,0.2666666667,0.8300000027,0.2000000023,2.8600001127,1.7816666713,1.2758333344,1.4138601347,0.5703332687,5.2406589523,4.0445848941,0.0040333344,7.5282445315,1.45642267,0.001333336,2
수유역,2022,3,서비스업,39.180000007,5.990000002,0.0,66.2817500271,0.4,1.1650000014,1.4e-09,1.6500000025,0.4072413809,0.2275862083,1.4663942,0.5194516673,1.2965163714,2.6075733525,-2e-10,-3.7e-09,0.6398000038,8e-10,2
수유역,2022,3,외식업,42.0436170219,5.2319148938,0.0,82.1293510625,0.1595744681,2.0978723405,0.8784042556,3.5340425423,5.0195698917,3.5856989243,4.6312126072,0.5957024788,16.2831120488,22.2627191474,4.220504255,0.1293509992,8.1916074466,1.2974031915,2
수유역,2022,3,유통업,45.9705882314,5.5117647082,0.0,61.699411726,0.1764705882,0.9111764698,0.2058823528,3.0529411506,1.4329411763,0.9676470597,1.3978812941,0.5213054127,3.1290818064,3.8576876121,-4e-10,2.5425992319,0.8042294087,6e-10,2
수유역,2022,4,서비스업,39.7916666726,5.9500000011,0.0,74.3756250268,0.2777777778,1.2083333351,1.1e-09,1.6500000078,0.3342424283,0.1936363668,1.4485218352,0.2863770283,2.9137385614,2.2242775014,1.5e-09,0.7421608327,0.458536113,2e-10,2
수유역,2022,4,외식업,42.4304761906,5.1457142861,0.0,82.768180948,0.1142857143,1.9886380953,0.9015238095,3.344761906,4.9789523803,3.4775238095,4.2460358658,0.964736924,14.8779974737,23.2847056524,4.0720742855,0.0182877617,9.4404595233,1.4711847622,2
수유역,2022,4,유통업,44.0913043431,5.1695652177,0.0,65.8856521214,0.1739130435,0.9773913058,0.1747826078,3.1434782914,2.1918181834,1.4436363642,1.217143302,0.5092875654,5.7190337664,5.3500211137,8e-10,3.1286158264,0.7915647813,6e-10,2
