trdar_nm,year,quarter,class_2_name,average(age),average(duration),average(is_franchise),average(business_square_size),average(is_risky),average(monthly_rental_fee),average(regular_employees_count),average(rental_deposit),average(sum_customer_cnt),average(sum_new_customer_cnt),average(sum_purchase_card),average(sum_purchase_cash),average(sum_purchase_invoice),average(sum_sales_card),average(sum_sales_delivery),average(sum_sales_invoice),average(sum_weekend_sales_card),average(sum_weekend_sales_delivery)
DMC(디지털미디어시티),2022,2,카페,39.9684210534,5.3315789472,0.2368421053,38.581878965,0.1315789474,2.0471052635,0.8202631593,4.2631578955,33.877368423,8.2263157907,3.9617520276,0.6218951848,8.8975790843,17.7307945123,0.5812421052,-3e-09,1.6269931621,0.1902394741
DMC(디지털미디어시티),2022,2,일식,,,,,,,,,,,,,,,,,,
가락시장역,2022,4,전문유통,,,,,,,,,,,,,,,,,,
가락시장역,2023,1,개인 서비스업,,,,,,,,,,,,,,,,,,
가락시장역,2022,4,건강/의료 서비스업,,,,,,,,,,,,,,,,,,
가락시장역,2023,1,교육서비스업,,,,,,,,,,,,,,,,,,
가락시장역,2023,1,"예술, 스포츠 및 여가관련 서비스업",,,,,,,,,,,,,,,,,,
가락시장역,2023,1,건강/의료 서비스업,,,,,,,,,,,,,,,,,,
가락시장역,2022,4,한식,43.9000000026,5.0833333349,0.5,95.741666665,0.1111111111,3.7400000025,2.2088888895,5.9166666702,6.8638888859,4.4555555573,3.723870944,0.3984945009,27.1973039897,56.2812411051,8.0052222221,-1.52e-08,14.8655277772,2.6846666676
가락시장역,2022,4,교육서비스업,,,,,,,,,,,,,,,,,,
가락시장역,2022,4,카페,,,,,,,,,,,,,,,,,,
가락시장역,2022,4,일식,,,,,,,,,,,,,,,,,,
가락시장역,2022,4,양식,,,,,,,,,,,,,,,,,,
가락시장역,2022,4,술집,,,,,,,,,,,,,,,,,,
가락시장역,2022,4,베이커리/디저트,,,,,,,,,,,,,,,,,,
가락시장역,2022,4,"예술, 스포츠 및 여가관련 서비스업",,,,,,,,,,,,,,,,,,
가락시장역,2023,1,베이커리/디저트,,,,,,,,,,,,,,,,,,
가락시장역,2022,4,패스트푸드,,,,,,,,,,,,,,,,,,
가락시장역,2023,1,양식,,,,,,,,,,,,,,,,,,
가락시장역,2023,2,교육서비스업,,,,,,,,,,,,,,,,,,
가락시장역,2023,1,카페,,,,,,,,,,,,,,,,,,
가락시장역,2023,2,전문유통,,,,,,,,,,,,,,,,,,
가락시장역,2023,2,한식,43.1142857242,4.5428571479,0.4285714286,99.1514285936,0.0,3.648571428,1.9414285746,5.7857142916,7.7649999972,5.3516666668,3.7658404345,0.4162774316,26.3138337113,54.6433857012,5.7881428575,-5.2e-09,16.9976714314,2.8001428579
가락시장역,2023,2,패스트푸드,,,,,,,,,,,,,,,,,,
가락시장역,2023,2,카페,,,,,,,,,,,,,,,,,,
가락시장역,2023,2,일식,,,,,,,,,,,,,,,,,,
가락시장역,2023,2,양식,,,,,,,,,,,,,,,,,,
가락시장역,2023,1,일식,,,,,,,,,,,,,,,,,,
가락시장역,2023,2,술집,,,,,,,,,,,,,,,,,,
가락시장역,2023,2,"예술, 스포츠 및 여가관련 서비스업",,,,,,,,,,,,,,,,,,
가락시장역,2023,2,건강/의료 서비스업,,,,,,,,,,,,,,,,,,
가락시장역,2023,2,개인 서비스업,,,,,,,,,,,,,,,,,,
가락시장역,2023,1,전문유통,,,,,,,,,,,,,,,,,,
가락시장역,2023,1,한식,43.349999994,4.705000001,0.45,98.12849999,0.1,3.6759999998,1.9805000004,5.8250000026,6.5652631593,4.3573684228,2.5955209976,0.6190640014,25.2360642456,51.5679999924,6.436700002,5e-09,12.5863249999,2.1729000016
가락시장역,2023,1,패스트푸드,,,,,,,,,,,,,,,,,,
가락시장역,2023,2,베이커리/디저트,,,,,,,,,,,,,,,,,,
가락시장역,2022,4,개인 서비스업,,,,,,,,,,,,,,,,,,
가락시장역,2023,1,술집,,,,,,,,,,,,,,,,,,
가락시장역,2022,3,한식,43.9000000045,5.0833333346,0.5,95.7416666631,0.1666666667,3.74,2.2361111133,5.9166666694,6.9500000037,4.5522222249,4.402322227,0.494006169,28.4657576233,53.5854833469,8.8308888906,-6e-10,13.5191944509,2.7733888913
가락시장역,2022,2,"예술, 스포츠 및 여가관련 서비스업",,,,,,,,,,,,,,,,,,
가락시장역,2022,2,교육서비스업,,,,,,,,,,,,,,,,,,
가락시장역,2022,2,건강/의료 서비스업,,,,,,,,,,,,,,,,,,
가락시장역,2022,2,개인 서비스업,,,,,,,,,,,,,,,,,,
가락시장역,2022,1,전문유통,,,,,,,,,,,,,,,,,,
가락시장역,2022,1,한식,44.2058823388,5.3058823517,0.5294117647,95.7441175756,0.2352941176,3.8129411741,2.1323529406,5.9705882324,4.714705881,3.2594117629,3.8100623534,0.0798002958,22.2365053482,32.3327646947,6.3707058815,1.15e-08,8.0838705845,2.0465294137
가락시장역,2022,1,패스트푸드,,,,,,,,,,,,,,,,,,
가락시장역,2022,1,카페,,,,,,,,,,,,,,,,,,
가락시장역,2022,1,일식,,,,,,,,,,,,,,,,,,
가락시장역,2022,1,양식,,,,,,,,,,,,,,,,,,
가락시장역,2022,1,술집,,,,,,,,,,,,,,,,,,
가락시장역,2022,1,베이커리/디저트,,,,,,,,,,,,,,,,,,
가락시장역,2022,1,"예술, 스포츠 및 여가관련 서비스업",,,,,,,,,,,,,,,,,,
가락시장역,2022,1,교육서비스업,,,,,,,,,,,,,,,,,,
가락시장역,2022,1,건강/의료 서비스업,,,,,,,,,,,,,,,,,,
가락시장역,2022,2,베이커리/디저트,,,,,,,,,,,,,,,,,,
가락시장역,2022,2,술집,,,,,,,,,,,,,,,,,,
가락시장역,2022,1,개인 서비스업,,,,,,,,,,,,,,,,,,
가락시장역,2022,2,양식,,,,,,,,,,,,,,,,,,
가락시장역,2022,3,패스트푸드,,,,,,,,,,,,,,,,,,
가락시장역,2022,3,카페,,,,,,,,,,,,,,,,,,
가락시장역,2022,3,일식,,,,,,,,,,,,,,,,,,
가락시장역,2022,3,양식,,,,,,,,,,,,,,,,,,
가락시장역,2022,3,술집,,,,,,,,,,,,,,,,,,
가락시장역,2022,3,베이커리/디저트,,,,,,,,,,,,,,,,,,
가락시장역,2022,3,"예술, 스포츠 및 여가관련 서비스업",,,,,,,,,,,,,,,,,,
가락시장역,2022,3,전문유통,,,,,,,,,,,,,,,,,,
가락시장역,2022,3,건강/의료 서비스업,,,,,,,,,,,,,,,,,,
가락시장역,2022,3,개인 서비스업,,,,,,,,,,,,,,,,,,
가락시장역,2022,2,전문유통,,,,,,,,,,,,,,,,,,
가락시장역,2022,2,한식,43.9000000116,5.0833333352,0.5,95.7416666823,0.2777777778,3.7400000032,2.2044444473,5.9166666687,6.62666667,4.636666667,4.1906731706,0.3643740013,25.9947343912,51.6766444612,7.2599444451,-5.2e-09,13.1285222264,2.7106666673
가락시장역,2022,2,패스트푸드,,,,,,,,,,,,,,,,,,
가락시장역,2022,2,카페,,,,,,,,,,,,,,,,,,
가락시장역,2022,2,일식,,,,,,,,,,,,,,,,,,
가락시장역,2022,3,교육서비스업,,,,,,,,,,,,,,,,,,
가로수길,2023,1,"예술, 스포츠 및 여가관련 서비스업",,,,,,,,,,,,,,,,,,
가로수길,2023,1,교육서비스업,,,,,,,,,,,,,,,,,,
가로수길,2023,1,건강/의료 서비스업,,,,,,,,,,,,,,,,,,
가로수길,2023,1,개인 서비스업,38.4333333323,5.3000000011,0.0,129.0822222065,0.2962962963,3.5712121133,0.3144444452,2.9444444445,0.9137037039,0.5514814817,2.1527586251,0.0862081499,5.5349965588,9.3603362869,5e-10,2.8995723414,3.6704777772,7e-10
가로수길,2022,4,전문유통,42.3357142901,6.87857143,0.1071428571,48.9399999985,0.3571428571,2.0553571449,0.9817857142,2.7817857147,4.6867857147,2.9374999991,3.8864946423,0.2913906438,105.0054339599,25.3513053619,0.0,82.9049271006,5.8049500008,6e-10
가로수길,2022,4,한식,40.9499999933,4.2374999996,0.25,139.5824999154,0.0416666667,4.4081250001,4.0412499992,5.6249999986,10.7754545423,7.2763636343,5.4131020806,0.5223617505,28.3482756133,66.5311453949,-2e-10,2.7e-09,17.9423554148,1.8e-09
가로수길,2022,4,패스트푸드,,,,,,,,,,,,,,,,,,
가로수길,2022,4,양식,48.8874999998,3.3125000016,0.0,194.8363749857,0.1666666667,7.6775000005,3.104999999,10.8750000014,10.9466666683,9.5062500001,6.0196666671,1.0431932091,26.6848440457,52.7656725054,0.1651999999,2.531787506,22.9806945847,0.0681625007
가로수길,2022,4,일식,35.685714283,4.157142858,0.1428571429,97.1728571161,0.1904761905,3.3714285746,4.2985714292,5.5000000004,3.4466666661,2.9794444442,4.959169382,0.8806199994,25.2221238325,48.8281657085,0.1041285718,0.3995693281,12.3730671433,0.0494952389
가로수길,2023,1,베이커리/디저트,,,,,,,,,,,,,,,,,,
가로수길,2022,4,술집,39.4714285753,5.9285714305,0.2857142857,107.3228571562,0.0952380952,3.6728571428,4.4400000001,4.2857142867,3.9161904789,3.5938095275,3.9315152399,0.5654647621,18.7363391959,32.3740371443,0.0857142872,7.8e-09,11.2875490496,0.0285714286
가로수길,2022,4,베이커리/디저트,,,,,,,,,,,,,,,,,,
가로수길,2022,4,"예술, 스포츠 및 여가관련 서비스업",,,,,,,,,,,,,,,,,,
가로수길,2022,4,교육서비스업,,,,,,,,,,,,,,,,,,
가로수길,2022,4,건강/의료 서비스업,,,,,,,,,,,,,,,,,,
가로수길,2022,4,카페,,,,,,,,,,,,,,,,,,
가로수길,2023,1,술집,37.9166666571,5.0166666666,0.3333333333,95.4599999924,0.1111111111,3.7900000034,7.0683333357,4.4999999994,4.7377777766,4.4022222213,3.9227044446,0.3736387236,21.1587667771,38.8165996056,0.1449166683,0.2694444455,13.7871661102,0.0356388914
가로수길,2023,1,패스트푸드,,,,,,,,,,,,,,,,,,
가로수길,2023,1,일식,36.2333333484,3.76666667,0.1666666667,92.2783333751,0.0555555556,3.6500000015,5.3750000028,5.8333333342,3.1733333352,2.754444446,4.4309954524,0.5733300023,26.7701448307,55.388015565,7e-10,1.1318053318,12.8304333371,9e-10
